user_id,id,is_active,payment_status,age,gender,native_language,learning_language,reason,level,tz_region,time_zone,completed_tutorial,main_lesson_id,has_phone,attribution,is_creator,tutor,tutor_accent,previous_experience,messaging_platform,initial_freemodal_seen,had_any_lesson,first_7d_avg_rating,first_7d_pct_ended_early
84a49c06-a912-472b-9285-a4c223cfd27b,461,0,,46,Male,ar,english,"Living abroad,Cultural interest",A1 - Beginner,Africa,Africa/Cairo,1,3,0,,0,Alex,,,,,1,0,0
6f20c36a-88dd-42b7-ad39-fb327303cc49,480,0,,27,Male,en,english,"Traveling,Career opportunities,Living abroad,School,For fun,Cultural interest,Business communication,Academic research,Building international relationships,Improving job prospects,Watching English media,Exams,Personal growth,Communicating with family or friends,Networking,Social media interaction,Understanding global news",A1 - Beginner,Africa,Africa/Cairo,1,3,0,,0,Alex,,,,,1,0,0
ae47d045-2ef1-45b2-a818-df97720a90c4,487,0,,27,Female,ar,english,Career opportunities,B1 - Intermediate,Africa,Africa/Cairo,1,2,0,,0,Alex,,,,,1,0,0
de5f5685-aa38-4b7a-b5cc-46eb0baa0838,490,0,,45,Male,en,english,"Traveling,Living abroad,Career opportunities,School,For fun,Cultural interest,Business communication,Academic research,Building international relationships,Improving job prospects,Watching English media,Exams,Personal growth,Communicating with family or friends,Networking,Online learning,Social media interaction,Understanding global news,Teaching others,Relocation",A1 - Beginner,Africa,Africa/Cairo,1,3,0,,0,Alex,,,,,1,0,0
8594203d-83ee-4a62-8132-3b9c31915dc3,540,0,,21,Male,en,english,Career opportunities,B2 - Experienced,America,America/Denver,1,6,0,,0,Alex,,,,,0,,
332c335c-27bc-4856-a974-272c30ab5014,590,0,,20,Male,ar,english,Not specified,advanced,Africa,Africa/Cairo,1,124,1,tiktok,0,Alex,neutral,"frequency:daily,context:media,history:onOff,goal:career",telegram,,1,1,1
91c48b0c-643e-4ff3-8dd2-a66ea0b8459b,795,0,,22,Male,en,english,"Career opportunities,Traveling,Living abroad,School,Business communication,Academic research,Exams,Networking,Communicating with family or friends",A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,0,,
f4f12db7-46a9-4fc1-b57f-b622e9c1c22b,887,0,,24,Male,en,english,Traveling,A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,1,0,0
98d326c2-e5a8-4d9f-ac12-dae2f6c861e7,898,0,,25,Male,ar,english,"Traveling,Living abroad,School,For fun,Business communication,Building international relationships,Academic research,Watching English media,Exams,Improving job prospects,Personal growth,Communicating with family or friends,Networking,Online learning,Social media interaction,Understanding global news,Teaching others,Relocation,Cultural interest",A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,0,,
14d78df2-c27f-4585-bf6c-7a5564c6e9ab,899,0,,25,Male,ar,english,Career opportunities,A2 - Early Intermediate,Africa,Africa/Cairo,0,59,0,,0,Alex,,,,,1,0,0
07e5da9a-83dd-4b42-8050-9b7b0ad0ee8c,947,0,,26,Female,en,english,Traveling,A1 - Beginner,Asia,Asia/Seoul,0,38,0,,0,Alex,,,,,1,0,0
e4d54ea8-6ffa-495d-935b-91cd2e84b7ac,951,0,,37,Male,en,english,Career opportunities,A2 - Early Intermediate,Africa,Africa/Cairo,0,59,0,,0,Alex,,,,,0,,
d8c5af0b-f08e-4fc1-9d8b-38972fb17c57,959,0,,27,Female,en,english,"Career opportunities,Traveling,Living abroad,School,For fun,Business communication,Academic research,Cultural interest,Building international relationships,Improving job prospects,Watching English media,Exams,Personal growth,Communicating with family or friends,Networking,Online learning,Social media interaction,Understanding global news,Teaching others,Relocation",A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,0,,
c42b3619-697b-4af3-bc67-3b812b0d0798,960,0,,60,Male,en,english,"Traveling,Living abroad,School,For fun,Cultural interest,Business communication,Academic research,Building international relationships,Watching English media,Exams,Improving job prospects,Personal growth,Communicating with family or friends,Networking,Online learning,Social media interaction,Understanding global news,Teaching others,Relocation",A2 - Early Intermediate,America,America/Sao_Paulo,0,59,0,,0,Alex,,,,,0,,
c8005cfa-0577-4f6c-b855-a504e97e67db,1018,0,,30,Prefer not to say,en,english,"Career opportunities,Traveling,Living abroad,School,For fun,Business communication,Academic research,Building international relationships,Improving job prospects,Watching English media,Exams",A2 - Early Intermediate,Africa,Africa/Cairo,0,59,0,,0,Alex,,,,,0,,
ef36a80a-afdd-4465-b795-0567924ef8d4,1022,0,,28,Male,ar,english,"Career opportunities,Traveling,Living abroad,School",A2 - Early Intermediate,Africa,Africa/Cairo,0,59,0,,0,Alex,,,,,0,,
cad32244-ca76-4076-b544-f936554c58ef,1083,0,,19,Female,en,english,Traveling,B2 - Experienced,Africa,Africa/Cairo,0,6,0,,0,Alex,,,,,1,0,0
5a49b789-0411-4911-8882-888d62c8224c,1095,0,,23,Female,en,english,"Career opportunities,Living abroad,For fun,Business communication,Building international relationships,Improving job prospects,Watching English media,Personal growth,Communicating with family or friends,Networking,Online learning,Social media interaction,Academic research,Traveling",A2 - Early Intermediate,Africa,Africa/Cairo,1,59,0,,0,Alex,,,,,1,0,0
0d2ed72e-0123-4adb-b455-179c72fe8be6,1097,0,,27,Male,en,english,Traveling,A2 - Early Intermediate,Africa,Africa/Cairo,0,59,0,,0,Alex,,,,,0,,
ec631b2e-8258-4ac8-b8a6-523be7deec88,1169,0,,27,Female,en,english,Career opportunities,A1 - Beginner,Africa,Africa/Cairo,1,3,0,,0,Alex,,,,,0,,
78f8cbe2-5fe6-4ca7-9a60-883951972d6c,1217,0,,47,Female,pt,english,"Business communication,Building international relationships",A2 - Early Intermediate,America,America/Sao_Paulo,0,59,0,,0,Alex,,,,,1,0,0
6e627ed8-d2d7-4c15-955a-c7f156be8984,1226,0,,39,Female,en,english,Traveling,A2 - Early Intermediate,Africa,Africa/Cairo,1,59,0,,0,Alex,,,,,1,2.5,0
2fea96af-7985-4ef4-a4b2-e57a0d4ae40c,1259,0,,44,Female,en,english,"Career opportunities,Living abroad,Traveling,For fun,Cultural interest,Business communication,Building international relationships,Watching English media,Social media interaction,Other",B1 - Intermediate,Africa,Africa/Cairo,0,2,0,,0,Alex,,,,,1,0,0
0ab2793b-5458-4d91-b850-aae5b8d06e5e,1265,0,,47,Male,en,english,For fun,A2 - Early Intermediate,Africa,Africa/Cairo,1,59,0,,0,Alex,,,,,1,0,0
b1454d62-7d80-42c4-9c4e-b2f3091861f3,1326,0,,30,Female,en,english,"Traveling,Career opportunities,For fun",A2 - Early Intermediate,Africa,Africa/Cairo,1,59,0,,0,Alex,,,,,1,0,0
25afa4a7-b701-45fa-b7f1-58d90d199d30,1327,0,,29,Female,en,english,"Communicating with family or friends,Personal growth,Watching English media,Improving job prospects,Building international relationships,Business communication,Cultural interest,Living abroad,Career opportunities,Traveling",A1 - Beginner,Africa,Africa/Cairo,0,38,0,,0,Alex,,,,,1,0,0
34096bbd-342f-42e4-a0d2-13fdd98479ec,1428,0,,26,Male,pt,english,Other,A2 - Early Intermediate,Europe,Europe/Lisbon,0,59,0,,0,Alex,,,,,0,,
0d556c53-9b9a-4546-8c46-83c124719c70,1438,0,,41,Male,pt,english,"Business communication,Building international relationships,Improving job prospects,Watching English media,Exams,Personal growth,Communicating with family or friends,Networking,Online learning,Social media interaction,Understanding global news,Teaching others,Cultural interest,Traveling,School,Living abroad,Career opportunities,For fun,Academic research,Relocation",A1 - Beginner,America,America/Manaus,0,3,0,,0,Alex,,,,,0,,
f4cc9f1c-699c-414f-a292-63bbe70aa016,1448,0,,57,Male,ar,english,"Business communication,Building international relationships,Watching English media,Communicating with family or friends,Networking,Social media interaction,Understanding global news,Relocation,Teaching others",A2 - Early Intermediate,Africa,Africa/Cairo,1,59,0,,0,Alex,,,,,0,,
84739f46-eb81-4b49-93b8-7eebcb73f074,1459,0,,19,Male,ar,english,Living abroad,B1 - Intermediate,Africa,Africa/Cairo,1,2,0,,0,Alex,,,,,1,4,0
6d85028f-748a-4911-ba1a-b2bda1f1cea1,1460,0,,28,Male,en,english,Traveling,A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,0,,
13eb2323-54e5-4570-9e83-e7b9106e11cc,1482,0,,47,Male,en,english,Traveling,A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,0,,
34070b38-c33b-4351-897f-5b9983aeed53,1496,0,,31,Male,ar,english,"Living abroad,Career opportunities",A1 - Beginner,Africa,Africa/Cairo,0,3,0,,0,Alex,,,,,0,,
5b05605e-58cd-40f4-b72f-d17fe7c9e120,1583,0,,38,Female,en,english,For fun,B1 - Intermediate,Europe,Europe/Rome,0,2,0,,0,Alex,,,,,0,,
664bab49-899b-4b08-96aa-f46c26478777,1586,0,,31,Male,ar,english,"Career opportunities,Living abroad,Traveling,School,For fun,Business communication,Cultural interest,Building international relationships,Watching English media,Personal growth,Communicating with family or friends,Online learning",A2 - Early Intermediate,Africa,Africa/Casablanca,0,59,0,,0,Alex,,,,,0,,
cff46fe2-9b1c-45b6-a3eb-fa5d0f85b579,1587,0,,18,Male,ar,english,Academic research,A2 - Early Intermediate,Africa,Africa/Cairo,0,59,0,,0,Alex,,,,,0,,
